2584, 1928, 3080, 7593
2330, 1832, 1044, 5208
2288, 1845, 1071, 5205
2525, 1711, 998, 5235
2119, 1687, 1042, 4849
2099, 1679, 954, 4733
2150, 1570, 1078, 4799
1997, 1675, 960, 4633
2148, 1695, 1032, 4875
2098, 1703, 999, 4801
2044, 1620, 1033, 4698
2042, 1658, 966, 4667
2326, 1593, 1045, 4965
2061, 1648, 1037, 4746
2042, 1674, 1078, 4794
2167, 1741, 970, 4879
2076, 1690, 1076, 4843
2064, 1686, 956, 4707
2011, 1650, 1035, 4696
2097, 1701, 1049, 4849
2147, 1632, 1022, 4801
2213, 1672, 960, 4847
2119, 1678, 1039, 4837
2072, 1625, 1030, 4728
1964, 1640, 1023, 4628
2248, 1849, 1104, 5202
2395, 1888, 1017, 5302
2283, 1699, 1065, 5050
2071, 1684, 1038, 4794
2041, 1700, 1025, 4767
2115, 1628, 1077, 4821
2079, 1670, 1045, 4795
2013, 1731, 967, 4712
2056, 1662, 1036, 4756
2069, 1667, 963, 4700
2023, 1692, 1136, 4853
2221, 1698, 1131, 5052
2040, 1705, 964, 4711
2025, 1654, 1076, 4757
2012, 1630, 957, 4601
1979, 1635, 1042, 4658
1950, 1655, 969, 4575
1933, 1630, 1048, 4612
1964, 1695, 966, 4626
1975, 1671, 1037, 4685
2015, 1677, 1044, 4737
2011, 1699, 1081, 4792
2016, 1650, 1029, 4696
2044, 1948, 1014, 5008
2052, 1628, 965, 4647
1817, 1617, 1014, 4449
1940, 1621, 1005, 4567
1955, 1770, 1023, 4748
1961, 1624, 1266, 4852
2089, 1656, 1231, 4977
2072, 1725, 1072, 4870
1917, 1597, 1088, 4604
2014, 1615, 1068, 4697
2031, 1773, 949, 4754
1984, 1606, 1001, 4592
2010, 1621, 994, 4627
1975, 1672, 955, 4604
1982, 1621, 1125, 4729
2002, 1640, 1001, 4645
1960, 1684, 972, 4617
2016, 1657, 1033, 4707
1968, 1678, 963, 4611
1980, 1643, 967, 4591
2034, 1672, 1053, 4760
1927, 1599, 1044, 4571
1983, 1615, 1052, 4651
2107, 1793, 1017, 4918
2019, 1766, 1028, 4814
