58, 1012, 669, 1741
50, 1011, 700, 1763
41, 864, 610, 1515
57, 1019, 630, 1707
47, 963, 662, 1673
49, 983, 694, 1728
49, 1010, 681, 1741
35, 1037, 639, 1712
48, 970, 671, 1689
37, 884, 651, 1573
33, 980, 653, 1667
15, 968, 640, 1624
45, 952, 632, 1631
49, 920, 596, 1567
32, 936, 715, 1684
73, 912, 595, 1582
47, 935, 598, 1582
47, 955, 599, 1602
35, 931, 597, 1564
44, 923, 612, 1579
44, 843, 605, 1492
48, 858, 557, 1464
19, 840, 557, 1417
18, 894, 553, 1466
26, 922, 597, 1546
45, 999, 599, 1645
34, 831, 594, 1461
69, 946, 600, 1616
69, 847, 595, 1512
45, 827, 624, 1498
46, 827, 577, 1451
34, 808, 588, 1431
34, 805, 594, 1436
35, 808, 598, 1442
45, 818, 614, 1479
35, 801, 630, 1467
45, 813, 576, 1434
34, 812, 601, 1448
45, 828, 664, 1537
25, 873, 607, 1505
33, 829, 603, 1467
45, 823, 587, 1456
35, 851, 586, 1473
36, 803, 625, 1465
45, 824, 592, 1462
46, 854, 595, 1496
18, 798, 563, 1381
45, 805, 567, 1418
35, 802, 586, 1424
32, 818, 591, 1443
51, 790, 564, 1406
50, 807, 591, 1449
51, 791, 551, 1394
50, 797, 590, 1438
39, 788, 589, 1417
39, 789, 567, 1396
50, 799, 572, 1422
32, 804, 577, 1413
54, 811, 556, 1422
32, 790, 574, 1397
33, 782, 556, 1373
51, 785, 585, 1422
50, 792, 553, 1396
50, 791, 553, 1394
50, 788, 607, 1447
58, 830, 550, 1439
50, 787, 567, 1404
51, 796, 630, 1477
51, 806, 575, 1433
51, 791, 552, 1396
50, 802, 578, 1431
51, 862, 573, 1487
50, 801, 580, 1434
50, 792, 577, 1420
52, 817, 577, 1448
51, 807, 555, 1415
51, 788, 564, 1405
32, 790, 681, 1504
73, 792, 578, 1444
51, 802, 552, 1406
33, 795, 591, 1421
31, 790, 583, 1405
50, 788, 557, 1396
32, 790, 592, 1415
39, 841, 552, 1434
51, 787, 551, 1390
31, 788, 548, 1369
32, 813, 576, 1422
50, 797, 557, 1404
33, 805, 576, 1414
31, 805, 569, 1406
32, 793, 553, 1378
51, 793, 596, 1442
32, 800, 561, 1394
52, 806, 571, 1430
51, 791, 553, 1396
56, 804, 574, 1435
50, 809, 559, 1420
50, 795, 555, 1402
39, 794, 553, 1387
51, 803, 578, 1434
32, 791, 585, 1409
50, 801, 583, 1435
50, 792, 572, 1414
51, 791, 589, 1433
50, 788, 555, 1394
52, 790, 581, 1424
39, 803, 584, 1428
56, 793, 567, 1417
52, 795, 591, 1439
53, 790, 572, 1415
51, 788, 581, 1421
52, 790, 555, 1397
50, 800, 555, 1406
50, 866, 751, 1668
33, 787, 568, 1389
32, 738, 547, 1318
50, 734, 568, 1353
50, 762, 544, 1357
40, 745, 571, 1357
50, 754, 575, 1381
52, 751, 585, 1389
39, 750, 580, 1370
52, 771, 567, 1391
51, 743, 548, 1344
50, 745, 557, 1353
51, 746, 587, 1385
51, 749, 547, 1349
52, 761, 565, 1379
32, 746, 584, 1363
51, 749, 580, 1381
52, 747, 568, 1369
52, 747, 542, 1341
50, 784, 548, 1385
50, 750, 575, 1376
50, 744, 549, 1344
52, 753, 551, 1357
64, 749, 564, 1379
57, 754, 569, 1381
32, 744, 580, 1356
79, 753, 564, 1396
50, 746, 574, 1371
50, 750, 563, 1364
51, 748, 666, 1465
33, 750, 578, 1362
50, 746, 545, 1343
50, 746, 551, 1348
50, 755, 582, 1389
51, 752, 562, 1366
50, 747, 587, 1386
52, 766, 580, 1399
50, 749, 545, 1346
50, 762, 568, 1382
50, 759, 571, 1382
50, 747, 554, 1352
52, 758, 567, 1378
32, 744, 629, 1406
46, 779, 636, 1463
47, 803, 620, 1470
52, 753, 580, 1387
41, 756, 570, 1369
52, 759, 551, 1362
33, 749, 565, 1348
32, 756, 565, 1355
40, 743, 577, 1360
52, 755, 568, 1376
50, 757, 589, 1397
50, 746, 548, 1345
33, 747, 557, 1338
32, 744, 542, 1319
50, 781, 559, 1392
52, 754, 569, 1377
51, 760, 572, 1384
50, 770, 564, 1386
32, 748, 583, 1364
49, 751, 571, 1372
50, 754, 615, 1420
36, 772, 640, 1449
37, 784, 634, 1456
36, 751, 679, 1466
35, 854, 630, 1520
45, 770, 573, 1389
36, 752, 567, 1356
