13, 2667, 5, 2686
9, 533, 2, 546
6, 527, 3, 536
5, 525, 3, 535
7, 537, 3, 548
10, 527, 3, 541
8, 534, 3, 547
7, 529, 2, 539
6, 534, 2, 544
8, 523, 3, 536
7, 531, 3, 543
6, 525, 3, 535
5, 535, 2, 544
8, 523, 3, 535
8, 533, 3, 545
9, 530, 3, 543
6, 534, 2, 543
9, 524, 3, 537
8, 531, 3, 543
7, 523, 3, 535
8, 596, 3, 608
8, 523, 3, 535
9, 524, 3, 537
9, 523, 3, 535
7, 536, 3, 548
8, 522, 3, 534
6, 531, 2, 540
6, 514, 2, 523
5, 527, 2, 536
6, 514, 2, 523
5, 535, 2, 543
5, 514, 3, 522
5, 533, 1, 541
5, 512, 2, 520
5, 535, 2, 543
5, 524, 3, 534
9, 539, 3, 552
7, 524, 3, 536
7, 532, 3, 543
7, 523, 3, 534
8, 605, 3, 617
8, 523, 3, 535
8, 529, 3, 541
8, 520, 3, 532
7, 527, 3, 538
8, 525, 3, 537
7, 530, 3, 540
7, 521, 2, 532
7, 529, 3, 541
11, 636, 3, 652
7, 526, 3, 537
8, 529, 3, 541
7, 527, 2, 537
7, 532, 3, 543
7, 531, 3, 541
7, 534, 3, 545
6, 525, 3, 535
7, 527, 3, 537
7, 525, 3, 536
7, 530, 3, 541
7, 525, 2, 535
7, 533, 3, 544
7, 523, 3, 534
8, 533, 3, 545
10, 557, 6, 575
11, 550, 3, 566
16, 531, 6, 554
9, 537, 3, 551
9, 546, 3, 558
12, 544, 5, 562
11, 558, 4, 574
10, 554, 3, 568
7, 513, 4, 525
8, 547, 4, 560
8, 513, 4, 525
7, 549, 4, 562
9, 519, 3, 532
8, 521, 3, 534
8, 550, 3, 562
9, 551, 4, 566
7, 622, 4, 635
12, 575, 22, 611
11, 528, 4, 544
9, 533, 7, 549
10, 535, 29, 575
9, 536, 6, 553
11, 8817, 24, 8853
18, 626, 5, 650
9, 594, 6, 611
9, 546, 3, 560
8, 538, 3, 551
12, 527, 3, 543
8, 533, 2, 544
7, 517, 2, 527
8, 534, 3, 546
6, 525, 2, 535
8, 530, 3, 542
6, 517, 2, 526
8, 531, 3, 543
6, 525, 3, 534
7, 532, 2, 543
7, 521, 2, 531
7, 533, 2, 544
6, 525, 3, 535
8, 529, 3, 541
6, 516, 2, 526
7, 533, 3, 544
6, 526, 2, 535
8, 530, 3, 542
6, 517, 2, 526
7, 532, 3, 543
6, 528, 2, 538
8, 529, 3, 540
6, 519, 2, 528
7, 533, 3, 544
7, 525, 2, 535
7, 529, 3, 540
6, 515, 3, 525
7, 529, 3, 541
6, 523, 2, 532
7, 539, 4, 552
9, 529, 3, 543
8, 528, 3, 540
7, 523, 2, 533
5, 536, 2, 544
9, 523, 3, 535
7, 530, 3, 541
6, 523, 2, 533
6, 533, 3, 543
7, 523, 3, 535
7, 539, 2, 550
6, 531, 2, 540
5, 531, 2, 540
7, 521, 3, 533
8, 531, 3, 542
6, 527, 3, 537
6, 534, 2, 544
7, 522, 3, 533
7, 533, 2, 544
7, 531, 2, 540
6, 537, 2, 546
7, 521, 3, 532
8, 534, 3, 545
6, 524, 2, 534
6, 538, 3, 548
8, 527, 3, 539
8, 533, 3, 545
6, 525, 2, 534
5, 533, 2, 542
7, 521, 2, 532
7, 537, 2, 547
5, 527, 2, 536
5, 534, 3, 543
7, 522, 3, 533
7, 536, 2, 547
6, 500, 2, 510
6, 541, 3, 551
7, 521, 3, 533
6, 527, 3, 537
6, 529, 2, 538
6, 539, 2, 548
7, 521, 3, 532
6, 537, 2, 547
6, 526, 2, 536
5, 537, 2, 546
7, 522, 3, 533
7, 531, 2, 541
6, 499, 2, 508
10, 541, 4, 557
6, 522, 2, 532
8, 541, 2, 552
5, 498, 2, 507
6, 541, 2, 550
7, 522, 2, 533
7, 536, 2, 546
6, 526, 2, 535
6, 537, 2, 546
8, 525, 2, 537
8, 530, 2, 542
6, 525, 3, 535
6, 534, 2, 544
7, 524, 3, 535
6, 533, 2, 542
5, 531, 3, 540
6, 533, 2, 542
7, 522, 3, 533
7, 544, 3, 555
6, 527, 2, 536
5, 535, 2, 543
8, 520, 3, 532
7, 554, 3, 565
6, 529, 2, 539
5, 527, 3, 537
8, 523, 3, 535
7, 534, 3, 546
6, 525, 2, 535
6, 539, 2, 548
7, 521, 3, 532
8, 538, 2, 549
6, 528, 2, 537
6, 536, 2, 546
7, 520, 3, 531
8, 532, 2, 544
6, 524, 2, 534
6, 539, 2, 548
8, 522, 3, 534
7, 535, 3, 545
7, 528, 2, 538
5, 534, 3, 543
7, 520, 3, 531
7, 533, 2, 544
6, 530, 2, 540
6, 540, 2, 549
7, 522, 2, 532
7, 535, 3, 546
6, 533, 6, 546
10, 544, 3, 558
7, 523, 3, 533
9, 532, 3, 545
6, 522, 2, 532
8, 527, 3, 539
6, 517, 2, 526
8, 529, 3, 541
7, 531, 3, 541
8, 526, 2, 538
6, 517, 2, 527
8, 538, 3, 550
6, 528, 2, 537
7, 526, 3, 538
6, 521, 2, 530
8, 530, 3, 542
6, 529, 2, 538
7, 526, 2, 537
6, 515, 2, 524
7, 533, 3, 544
6, 528, 2, 537
7, 529, 2, 539
6, 516, 2, 525
8, 535, 3, 547
6, 532, 3, 543
8, 543, 2, 555
5, 524, 2, 532
8, 527, 3, 539
6, 529, 2, 538
8, 525, 2, 537
6, 523, 3, 533
7, 537, 3, 549
6, 535, 2, 545
8, 529, 3, 541
6, 515, 2, 524
7, 526, 2, 537
7, 529, 2, 539
7, 531, 2, 541
6, 515, 2, 524
7, 541, 3, 552
6, 532, 2, 542
7, 525, 2, 535
5, 514, 2, 523
8, 532, 3, 543
7, 532, 3, 542
7, 528, 2, 539
6, 516, 2, 525
8, 531, 3, 543
7, 529, 3, 540
7, 525, 2, 536
6, 517, 2, 525
8, 530, 2, 542
6, 528, 2, 537
7, 531, 2, 541
6, 517, 2, 526
7, 533, 3, 544
6, 532, 2, 541
7, 526, 3, 537
7, 515, 2, 525
7, 535, 3, 546
6, 532, 2, 541
7, 531, 3, 542
6, 523, 2, 533
8, 543, 3, 555
6, 525, 3, 535
7, 535, 2, 546
6, 516, 3, 526
7, 532, 3, 543
5, 529, 2, 537
7, 525, 3, 535
6, 516, 2, 525
8, 526, 3, 538
7, 530, 2, 540
7, 524, 2, 535
6, 518, 2, 527
7, 523, 3, 534
7, 520, 2, 530
7, 530, 3, 541
6, 517, 2, 526
7, 531, 3, 542
7, 525, 2, 535
8, 527, 2, 538
6, 515, 2, 525
8, 533, 3, 545
6, 530, 2, 539
7, 525, 3, 536
6, 515, 2, 524
7, 527, 3, 538
6, 532, 2, 542
7, 532, 2, 542
7, 514, 2, 525
7, 536, 3, 547
6, 534, 2, 543
7, 532, 3, 543
5, 515, 2, 524
8, 532, 3, 543
11, 510, 3, 525
7, 527, 2, 539
6, 516, 2, 525
8, 525, 3, 538
6, 534, 2, 544
7, 529, 3, 540
6, 521, 2, 530
8, 538, 3, 549
5, 500, 3, 509
7, 782, 4, 795
7, 529, 2, 538
8, 543, 3, 556
5, 529, 2, 538
8, 528, 3, 540
6, 517, 2, 526
7, 530, 2, 541
6, 529, 2, 539
8, 524, 3, 535
5, 517, 2, 525
7, 531, 3, 542
6, 529, 2, 539
7, 528, 2, 539
6, 520, 2, 530
7, 535, 3, 546
7, 528, 2, 538
8, 531, 3, 543
6, 515, 2, 524
8, 534, 2, 545
6, 529, 3, 539
7, 531, 2, 541
6, 515, 2, 525
7, 533, 2, 544
6, 528, 2, 537
7, 529, 2, 540
6, 517, 2, 526
7, 538, 3, 549
7, 532, 2, 542
7, 530, 2, 541
6, 515, 2, 525
7, 537, 2, 547
6, 534, 2, 543
8, 529, 2, 541
6, 520, 2, 529
8, 537, 3, 549
6, 532, 3, 542
8, 524, 2, 535
6, 516, 2, 525
7, 535, 3, 546
7, 532, 3, 543
8, 532, 3, 543
6, 515, 2, 525
8, 532, 3, 544
5, 531, 3, 541
8, 529, 2, 541
6, 516, 2, 525
8, 529, 3, 541
6, 529, 2, 539
8, 525, 3, 536
6, 517, 2, 527
8, 533, 3, 544
7, 530, 2, 540
9, 528, 3, 540
6, 515, 2, 524
7, 533, 3, 544
6, 528, 2, 538
8, 534, 2, 545
6, 516, 2, 526
7, 533, 3, 544
6, 530, 2, 540
8, 530, 3, 541
6, 515, 2, 525
9, 521, 24, 555
10, 533, 3, 547
9, 539, 2, 552
7, 517, 3, 528
8, 536, 3, 548
6, 530, 2, 539
7, 529, 3, 540
5, 517, 2, 525
7, 535, 3, 546
6, 527, 2, 537
9, 530, 3, 543
7, 516, 2, 526
7, 529, 3, 541
6, 532, 2, 541
8, 526, 3, 538
6, 517, 2, 526
7, 541, 2, 552
6, 530, 2, 539
8, 533, 3, 545
6, 516, 2, 525
7, 542, 3, 553
6, 537, 2, 546
