3239, 2303, 3294, 8837
1871, 1804, 2113, 5790
1811, 1823, 1891, 5526
1893, 1753, 1918, 5566
1893, 1839, 1912, 5645
2157, 1799, 1982, 5939
1948, 1789, 1747, 5485
1847, 1638, 1911, 5397
1945, 1818, 1837, 5601
1953, 1662, 1802, 5419
2189, 1624, 1724, 5538
2059, 1721, 1714, 5496
2102, 1567, 1854, 5524
1939, 1639, 1825, 5405
2105, 1728, 1748, 5582
2262, 1579, 1816, 5658
2127, 1744, 1679, 5551
1799, 1767, 1706, 5274
2049, 1693, 1773, 5516
2105, 1616, 1859, 5581
2193, 1707, 1758, 5660
1971, 1695, 1800, 5467
2264, 1720, 1663, 5648
2028, 1800, 1814, 5644
2047, 1803, 1613, 5465
1959, 1698, 1857, 5514
2162, 1693, 1703, 5559
2002, 1599, 1858, 5461
1914, 1689, 1745, 5349
2028, 1670, 1770, 5470
2156, 1714, 1720, 5591
2020, 1652, 1813, 5486
2187, 1656, 1613, 5457
1939, 1678, 1722, 5340
1983, 1662, 1759, 5405
1860, 1765, 1621, 5247
2014, 1648, 1755, 5418
1867, 1692, 1684, 5245
1894, 1793, 1516, 5204
2116, 1712, 1802, 5631
2202, 1729, 1661, 5594
1882, 1643, 1549, 5076
2202, 1657, 1629, 5488
1922, 1801, 1669, 5394
2098, 1770, 1641, 5510
1938, 1720, 1669, 5328
1861, 1647, 1780, 5290
1510, 1679, 1602, 4793
1889, 1665, 1737, 5292
1830, 1750, 1788, 5369
2047, 1832, 1731, 5612
1645, 1706, 1592, 4944
2072, 1843, 1749, 5667
1657, 1624, 1936, 5218
5547, 1741, 4715, 12005
1881, 1851, 1824, 5558
1757, 1759, 1877, 5394
1778, 1831, 1798, 5409
1678, 1824, 1670, 5174
1723, 1822, 1962, 5507
1783, 1820, 1764, 5369
1902, 1850, 1709, 5462
1710, 1630, 1712, 5054
1786, 1639, 1611, 5038
1544, 1968, 1741, 5254
1920, 1935, 1835, 5691
1755, 1754, 2286, 5795
1807, 1632, 1717, 5157
1770, 1581, 1545, 4897
1703, 1677, 1558, 4939
1901, 1549, 1569, 5020
1755, 1534, 1624, 4914
1925, 1666, 1602, 5195
1494, 1608, 1655, 4758
1793, 1635, 1567, 4997
1714, 1654, 1564, 4933
4942, 1649, 1829, 8421
1961, 1604, 1808, 5374
2103, 1688, 1597, 5389
1999, 1652, 1694, 5346
1842, 1689, 1562, 5095
1876, 1810, 1793, 5481
2032, 1770, 1779, 5583
1942, 1654, 1819, 5417
2113, 1686, 1800, 5601
2008, 1751, 1617, 5376
1971, 1661, 1693, 5326
1794, 1735, 1805, 5335
2046, 1698, 1786, 5532
1947, 1608, 1673, 5230
2143, 1691, 1680, 5516
1914, 1681, 1752, 5348
1935, 1744, 1681, 5361
1858, 1619, 1752, 5231
2124, 1665, 1745, 5535
1959, 1752, 1712, 5424
1859, 1620, 1775, 5255
1807, 1620, 1737, 5164
2059, 1813, 1612, 5487
1854, 1624, 1703, 5181
1889, 1697, 1680, 5268
1889, 1797, 1633, 5320
1935, 1561, 1592, 5089
1677, 1574, 1613, 4865
1793, 1592, 1611, 4996
1840, 1650, 1758, 5249
1805, 1759, 1652, 5217
1818, 1690, 1665, 5174
2043, 1635, 1718, 5398
1764, 1620, 1750, 5136
2049, 1622, 1652, 5324
1822, 1665, 1614, 5103
1922, 1684, 1769, 5376
2040, 1636, 1694, 5372
1804, 1714, 1682, 5201
1957, 1635, 1666, 5259
2106, 1670, 1705, 5483
1815, 1636, 1650, 5103
1927, 1768, 1693, 5389
1969, 1780, 1805, 5556
2155, 1509, 1729, 5394
2032, 1785, 1732, 5551
1859, 1682, 1619, 5161
1846, 1630, 1702, 5180
2074, 1650, 1681, 5407
1976, 1586, 1772, 5336
2102, 1630, 1842, 5575
1947, 1644, 1735, 5327
2148, 1688, 1788, 5624
1997, 1667, 1682, 5347
1948, 1748, 1611, 5307
1895, 1742, 1762, 5401
2031, 1730, 1693, 5455
1970, 1575, 1820, 5366
1958, 1736, 1652, 5349
2012, 1659, 1761, 5433
2136, 1545, 1801, 5484
1941, 1739, 1694, 5375
1779, 1665, 1693, 5139
1934, 1614, 1739, 5289
2051, 1613, 1653, 5318
1703, 1619, 1903, 5228
2122, 1658, 1673, 5455
1937, 1749, 1650, 5337
1807, 1558, 1640, 5007
2010, 1739, 1817, 5567
2116, 1669, 1705, 5491
1857, 1599, 1770, 5227
2131, 1774, 1764, 5670
1813, 1616, 1727, 5158
2006, 1660, 1692, 5359
1875, 1723, 1741, 5340
2151, 1617, 1674, 5443
1825, 1669, 1630, 5126
1808, 1622, 1780, 5212
2070, 1647, 1803, 5521
2029, 1701, 1667, 5398
2004, 1672, 1758, 5435
2117, 1708, 1823, 5649
1783, 1804, 2121, 5709
1681, 1799, 1967, 5447
1903, 1814, 1876, 5595
1944, 1779, 1798, 5522
1852, 1998, 1789, 5640
1981, 1939, 1799, 5720
2128, 1914, 1664, 5706
1947, 2181, 1668, 5797
4699, 2089, 2163, 8952
1714, 1842, 1815, 5372
1912, 1870, 1583, 5366
2111, 1628, 1746, 5488
1891, 1739, 1910, 5541
1823, 1816, 1694, 5336
1974, 1642, 1663, 5279
1834, 1755, 1693, 5283
1911, 1618, 1761, 5291
2147, 1718, 1683, 5549
1890, 1761, 1750, 5402
2012, 1723, 1718, 5455
2034, 1689, 1687, 5411
1873, 1655, 1674, 5204
1860, 1767, 1725, 5354
1894, 1671, 1665, 5231
1959, 1599, 1746, 5306
2081, 1674, 1675, 5432
1760, 1706, 1636, 5103
2203, 1705, 1697, 5605
1908, 1633, 1821, 5364
2119, 1740, 1643, 5503
2035, 1791, 1745, 5573
1976, 1772, 1577, 5327
1907, 1836, 1740, 5484
1798, 1772, 1698, 5269
1760, 1658, 1737, 5157
2048, 1735, 1623, 5408
1905, 1759, 1647, 5313
1968, 1587, 1608, 5165
1931, 1637, 1793, 5362
2167, 1758, 1569, 5496
1801, 1776, 1790, 5368
2054, 1727, 1669, 5452
1847, 1730, 1618, 5197
1787, 1727, 1805, 5321
2006, 1680, 1723, 5411
2104, 1652, 1735, 5493
1901, 1615, 1673, 5190
2164, 1731, 1735, 5631
1903, 1763, 1663, 5330
1856, 1728, 1730, 5315
1914, 1708, 1716, 5338
2092, 1692, 1691, 5477
1822, 1528, 1870, 5221
2013, 1731, 1612, 5357
1874, 1683, 1670, 5229
2077, 1734, 1615, 5428
1948, 1745, 1686, 5381
2100, 1658, 1767, 5527
1754, 1631, 1908, 5295
2047, 1737, 1596, 5381
1839, 1667, 1727, 5235
2067, 1620, 1703, 5391
1952, 1733, 1674, 5360
1901, 1636, 1653, 5191
1972, 1719, 1795, 5488
2025, 1741, 1697, 5466
1878, 1720, 1656, 5255
2070, 1719, 1634, 5425
1895, 1810, 1734, 5441
2117, 1636, 1569, 5324
1861, 1669, 1691, 5222
1829, 1747, 1677, 5254
1855, 1636, 1708, 5199
2045, 1720, 1638, 5404
2030, 1705, 1783, 5519
2147, 1705, 1604, 5458
1956, 1608, 1759, 5324
1985, 1778, 1810, 5574
1817, 1656, 1624, 5098
1815, 1746, 1752, 5314
2033, 1588, 1699, 5321
2087, 1730, 1714, 5533
1876, 1696, 1673, 5247
2089, 1694, 1637, 5421
1912, 1735, 1680, 5330
1746, 1842, 1595, 5185
2014, 1644, 1742, 5403
2146, 1603, 1642, 5393
2064, 1628, 1636, 5330
1822, 1745, 1630, 5198
1981, 1596, 1672, 5249
2011, 1634, 1810, 5456
1852, 1727, 1776, 5357
2035, 1684, 1653, 5374
1895, 1618, 1729, 5243
2090, 1723, 1721, 5535
1958, 1588, 1686, 5233
1794, 1692, 1793, 5281
1864, 1743, 1719, 5327
2034, 1722, 1624, 5381
1815, 1720, 1729, 5266
2012, 1703, 1689, 5406
1795, 1684, 1640, 5121
2177, 1722, 1678, 5578
2107, 1680, 1718, 5506
1871, 1662, 1736, 5270
1822, 1642, 1697, 5163
1875, 1650, 1590, 5117
1790, 1632, 1834, 5257
2496, 1712, 1626, 5835
1894, 1871, 1554, 5320
1932, 1744, 1750, 5428
2006, 1605, 1703, 5316
2192, 1685, 1871, 5748
1765, 1647, 1692, 5106
2137, 1743, 1656, 5538
1804, 1584, 1723, 5112
2017, 1718, 1692, 5429
2021, 1707, 1714, 5443
1829, 1695, 1708, 5234
1911, 1531, 1654, 5098
1971, 1732, 1639, 5343
1978, 1601, 1934, 5515
2089, 1570, 1691, 5352
1817, 1636, 1582, 5037
1870, 1720, 1669, 5261
1857, 1654, 1777, 5289
1949, 1717, 1746, 5414
2069, 1618, 1671, 5359
2072, 1569, 1682, 5324
2028, 1739, 1564, 5332
2025, 1663, 1679, 5369
2008, 1681, 1671, 5362
2143, 1679, 1573, 5396
1685, 1589, 1721, 4997
2054, 1658, 1641, 5354
1807, 1686, 1717, 5212
2239, 1621, 1631, 5493
1947, 1661, 1667, 5276
2173, 1765, 1745, 5685
2020, 1701, 1794, 5516
2089, 1627, 1669, 5387
1861, 1656, 1615, 5133
1867, 1592, 1564, 5024
1543, 1484, 1754, 4783
2179, 1677, 1746, 5603
2124, 1615, 1845, 5586
1876, 1718, 1611, 5206
1871, 1701, 1733, 5306
2027, 1760, 1701, 5488
1899, 1533, 1686, 5120
2149, 1735, 1680, 5565
1762, 1630, 1842, 5235
1859, 1642, 1731, 5233
2078, 1705, 1777, 5562
2224, 1686, 1787, 5699
1842, 1689, 1703, 5234
1913, 1801, 1626, 5341
1969, 1675, 1835, 5481
2025, 1754, 1660, 5441
1990, 1667, 1707, 5365
1731, 1605, 1779, 5117
1789, 1625, 1695, 5110
2085, 1583, 1662, 5332
1905, 1669, 1713, 5288
1990, 1713, 1651, 5355
1761, 1700, 1781, 5243
2051, 1603, 1634, 5289
1791, 1627, 1619, 5039
1932, 1703, 1715, 5352
2009, 1605, 1752, 5368
2002, 1616, 1724, 5342
2013, 1740, 1577, 5332
1741, 1677, 1764, 5183
1999, 1656, 1710, 5367
1980, 1714, 1748, 5444
1805, 1648, 1743, 5197
2186, 1830, 1994, 6011
1765, 1743, 3158, 6667
2221, 1810, 2076, 6108
1852, 1676, 1860, 5389
1881, 1948, 1755, 5584
2043, 2109, 2029, 6182
1987, 1937, 1607, 5534
2030, 2134, 2348, 6514
2225, 1957, 1939, 6122
1835, 1761, 1878, 5476
1947, 1586, 1823, 5357
2106, 1754, 1889, 5750
1750, 1772, 1606, 5129
1713, 1695, 2028, 5436
2117, 1891, 1716, 5725
1878, 1770, 1823, 5472
2014, 1631, 1532, 5179
1867, 1685, 1712, 5266
2087, 1537, 1839, 5464
1802, 2275, 1746, 5825
2092, 1718, 1685, 5495
1874, 1632, 1720, 5228
2113, 1718, 1736, 5569
2108, 1645, 1769, 5523
2168, 1732, 1753, 5654
2029, 1782, 1731, 5543
2089, 1697, 1658, 5445
